"maxDT","minDT","maxNT","minNT","DTR","SU","TR","CFD"
40.2,20.65,24.69,4.63,15.3359722222222,55,0,-Inf
30.87,21.07,17.63,4.72,15.401975308642,2,0,-Inf
42.98,20.65,28.16,4.63,15.390275862069,60,3,-Inf
29.85,17.54,16.31,4.9,14.3053684210526,0,0,-Inf
31.29,18.06,13.99,4.15,15.2965217391304,3,0,-Inf
40.2,20.65,24.69,4.63,15.3547183098592,53,0,-Inf
31.13,15.62,16.26,3.43,15.6133707865169,6,0,-Inf
33.53,18.06,18.56,4.15,15.5024468085106,15,0,-Inf
29.85,17.54,15.35,4.9,14.3895744680851,0,0,-Inf
41.07,20.65,25.95,4.63,15.3419727891156,57,1,-Inf
31.29,18.06,13.99,4.15,15.3185135135135,3,0,-Inf
30.82,21.07,16.89,4.72,15.393908045977,1,0,-Inf
29.46,21.07,16.89,4.72,15.4249367088608,0,0,-Inf
30.37,17.65,16.52,5.04,14.4862727272727,1,0,-Inf
32.78,21.07,18.62,4.72,15.3898863636364,7,0,-Inf
30.37,17.65,16.52,5.04,14.4849056603774,1,0,-Inf
31.29,18.06,13.99,4.15,15.3036231884058,3,0,-Inf
30.87,21.07,17.63,4.72,15.3697727272727,3,0,-Inf
30,17.65,16.52,5.04,14.4205660377358,0,0,-Inf
42.98,20.65,28.16,4.63,15.3591666666667,62,4,-Inf
29.85,17.54,15.35,4.9,14.3727368421053,0,0,-Inf
42.98,20.65,28.16,4.63,15.2851700680272,66,5,-Inf
30,17.65,16.52,5.04,14.4332110091743,0,0,-Inf
30.06,20.11,18.08,4.55,13.7014432989691,1,0,-Inf
30.5,20.11,16.37,4.55,14.4624,2,0,-Inf
30.5,20.11,16.12,4.55,14.3994594594595,2,0,-Inf
30.5,20.11,16.37,4.55,14.3844,2,0,-Inf
30.5,20.11,16.37,4.55,14.6703896103896,3,0,-Inf
30.06,20.11,15.16,4.55,14.4857142857143,1,0,-Inf
30.06,20.11,15.16,4.55,14.4666176470588,1,0,-Inf
28.82,20.11,14.46,4.55,14.2362295081967,0,0,-Inf
31.15,15.98,16.11,3.55,15.6741379310345,6,0,-Inf
30.14,17.54,16.99,4.9,14.2942592592593,1,0,-Inf
30.37,17.65,16.52,5.04,14.4887387387387,1,0,-Inf
42.98,20.65,28.16,4.63,15.386095890411,61,4,-Inf
30.2,17.54,16.99,4.9,14.4665934065934,2,0,-Inf
27.34,15,14.15,2.17,13.7865882352941,0,0,-Inf
29.85,17.54,16.31,4.9,14.3053684210526,0,0,-Inf
32.4,15.74,16.05,3.64,15.4672151898734,4,0,-Inf
30.37,17.65,16.52,5.04,14.4819266055046,1,0,-Inf
32.78,21.07,18.62,4.72,15.3764772727273,6,0,-Inf
32.78,21.07,18.62,4.72,15.3902298850575,6,0,-Inf
30.53,17.65,16.52,5.04,14.5455752212389,3,0,-Inf
42.98,20.65,28.16,4.63,15.4065277777778,61,4,-Inf
40.2,20.65,24.6,4.63,15.4946762589928,48,0,-Inf
30.53,17.65,16.52,5.04,14.5436036036036,3,0,-Inf
40.2,20.65,24.69,4.63,15.4125735294118,51,0,-Inf
29.46,21.07,16.89,4.72,15.4078481012658,0,0,-Inf
40.2,20.65,24.69,4.63,15.3621428571429,53,0,-Inf
40.2,20.65,24.69,4.63,15.4123741007194,50,0,-Inf
31.29,18.06,13.99,4.15,15.2544776119403,3,0,-Inf
33.9,19.33,19.26,4.44,14.9947959183673,16,0,-Inf
32.29,15.98,17.57,3.55,15.475,8,0,-Inf
42.98,20.65,28.16,4.63,15.3042953020134,65,4,-Inf
32.24,15.98,16.2,3.55,15.35975,7,0,-Inf
40.04,16.87,23.28,5.08,15.0850495049505,25,0,-Inf
40.04,16.87,23.28,5.08,15.0850495049505,25,0,-Inf
40.04,16.87,23.28,5.08,15.0502912621359,25,0,-Inf
40.04,16.87,23.28,5.08,15.0502912621359,25,0,-Inf
40.04,16.87,23.28,5.08,14.9876,25,0,-Inf
40.04,16.87,23.28,5.08,14.9876,25,0,-Inf
40.5,17.65,22.52,5.04,14.9715267175573,23,0,0
40.5,17.65,22.52,5.04,14.9715267175573,23,0,0
40.04,16.87,23.28,5.08,14.9779527559055,25,0,-Inf
40.04,16.87,23.28,5.08,14.979126984127,25,0,-Inf
39.65,17.54,22.24,4.9,14.7725,19,0,-Inf
42.98,20.65,28.16,4.63,15.2800662251656,64,4,0
29.46,21.07,16.89,4.72,15.4368181818182,0,0,-Inf
32.78,21.07,17.63,4.72,15.3912359550562,5,0,-Inf
30.5,20.11,16.37,4.55,14.9173214285714,3,0,-Inf
34.93,20.11,16.37,4.55,14.818961038961,5,0,-Inf
30.5,20.11,16.37,4.55,14.3366233766234,2,0,-Inf
30.5,20.11,15.29,4.55,14.3377922077922,2,0,-Inf
30.06,20.11,15.29,4.55,14.2448051948052,1,0,-Inf
30.06,20.11,15.29,4.55,14.2094736842105,1,0,-Inf
30.06,20.11,15.29,4.55,14.2448051948052,1,0,-Inf
30.5,20.11,16.37,4.55,14.470641025641,2,0,-Inf
30.06,20.11,15.29,4.55,14.2448051948052,1,0,-Inf
31.91,21.07,17.63,4.72,15.3569318181818,4,0,-Inf
32.78,21.07,18.62,4.72,15.432,7,0,-Inf
42.98,20.65,28.16,4.63,15.4011267605634,61,4,-Inf
30.53,17.65,16.52,5.04,14.549203539823,3,0,-Inf
29.46,21.07,16.89,4.72,15.3506493506494,0,0,-Inf
33.53,18.06,18.56,4.15,15.4338775510204,16,0,-Inf
30.37,17.65,16.52,5.04,14.4887387387387,1,0,-Inf
